1. Surfin' U.S.A., Beach Boys
2. Sugar Shack, Jimmy Gilmer and The Fireballs
3. The End of the World, Skeeter Davis
4. Rhythm Of The Rain, Cascades
5. Hey Paula, Paul and Paula
6. Blue Velvet, Bobby Vinton
7. He's So Fine, Chiffons
8. Fingertips II, Little Stevie Wonder
9. Washington Square, Village Stompers
10. So Much In Love, Tymes
11. Can't Get Used to Losing You, Andy Williams
12. My Boyfriend's Back, Angels
13. Sukiyaki, Kyu Sakamoto
14. She's a Fool, Lesley Gore
15. It's All Right, Impressions
16. Puff, the Magic Dragon, Peter, Paul and Mary
17. Blowin' In the Wind, Peter, Paul and Mary
18. Wipe Out, The Surfaris
19. Deep Purple, Nino Tempo and April Stevens
20. I'm Leaving It Up To You, Dale and Grace
21. I Love You Because, Al Martino
22. Wild Weekend, Rebels
23. You're the Reason I'm Living, Bobby Darin
24. Walk Like a Man, Four Seasons
25. Mockingbird, Inez Foxx
26. I Will Follow Him, Little Peggy March
27. Pipeline, Chantays
28. Surf City, Jan and Dean
29. It's My Party, Lesley Gore
30. Blame It On The Bossa Nova, Eydie Gorme
31. You Can't Sit Down, Dlovells
32. Heat Wave , Martha and The Vandellas
33. Denise, Randy and The Rainbows
34. Walk Right In, Rooftop Singers
35. If You Wanna Be Happy, Jimmy Soul
36. Surfer Girl, Beach Boys
37. If I Had a Hammer, Trini Lopez
38. Everybody, Tommy Roe
39. Easier Said Than Done, Essex
40. Ruby Baby, Dion
41. Maria Elena, Los Indios Tabajaras
42. Our Day Will Come, Ruby and The Romantics
43. I Can't Stay Mad At You, Skeeter Davis
44. Hello Stranger, Barbara Lewis
45. Be My Baby, Ronettes
46. Mean Woman Blues, Roy Orbison
47. South Street, Orlons
48. Days of Wine and Roses, Henry Mancini
49. The Monkey Time, Major Lance
50. Candy Girl, Four Seasons
51. Still, Bill Anderson
52. Blue On Blue, Bobby Vinton
53. Cry Baby, Garnet Mimms and The Enchanters
54. Two Faces Have I, Lou Christie
55. Busted, Ray Charles
56. Da Doo Ron Ron , Crystals
57. Foolish Little Girl, Shirelles
58. Foolish Little Girl, Lonnie Mack
59. In Dreams, Roy Orbison
60. More, Kal Winding
61. Fools Rush In, Rick Nelson
62. Losing You, Brenda Lee
63. Our Winter Love, Bill Pursell
64. I Wanna Be Around, Tony Bennett
65. You've Really Got a Hold On Me, Miracles
66. Sally Go 'Round The Roses, Jaynetts
67. Little Red Rooster, Sam Cooke
68. Then He Kissed, w Crystals
69. Devil in Disguise, Elvis Presley
70. Those Lazy-hazy-crazy Days On Summer, Nat King Cole
71. Baby Workout, Jackie Wilson
72. Pride and Joy, Marvin Gaye
73. Walking The Dog, Rufus Thomas
74. From a Jack to a King, Ned Miller
75. Up On the Roof, Drifters
76. What Will My Mary Say, Johnny Mathis
77. Mama Didn't Lie, Jan Bradley
78. The Night Has a Thousand Eyes, Bobby Vee
79. Don't Say Nothin' Bad About My Baby, Little Eva
80. Ring of Fire, Johnny Cash
81. (Down At) Papa Joe's, Dixiebelles With Cornbread and Jerry
82. Hello Muddah, Hello Fadduh! (A Letter From Camp), Allan Sherman
83. Judy's Turn to Cry, Lesley Gore
84. Just One Look, Doris Troy
85. Mickey's Monkey, Miracles
86. Donna the Prima Donna, Dion
87. That Sunday, That Summer, Nat King Cole
88. Another Saturday Night, Sam Cooke
89. Painted, Tainted Rose, Al Martino
90. Tie Me Kangaroo Down, Sport, Roll Harris
91. Go Away Little Girl, Steve Lawrence
92. Take These Chains from My Heart, Ray Charles
93. Talk To Me, Sunny and The Sunglows
94. Come and Get These Memories, Martha and The Vandellas
95. Bossa Nova Baby, Elvis Presley
96. Do the Bird, Dee Dee Sharp
97. Shut Down, Beach Boys
98. One Fine Day, Chiffons
99. Little Town Flirt, Del Shannon
100. 500 Miles Away from Home, Bobby Bare
